19	1	Better to be poor and walk with integrity than to be a fool who speaks lies.
19	2	Desire without knowledge isn't good; being in too much of a hurry leads to mistakes.
19	3	A person’s own foolishness messes up their life, and then their heart gets mad at God.
19	4	Wealth brings many "friends," but a poor person is ghosted by the ones they had.
19	5	A false witness won't go unpunished; a liar will not escape the consequences.
19	6	Everyone tries to get on the good side of a ruler; everyone is a friend to a gift-giver.
19	7	If a poor person is shunned by their own family, how much more do their friends avoid them!
19	8	To acquire wisdom is to love yourself; the one who cherishes understanding will prosper.
19	11	A person’s wisdom yields patience; it is to one’s glory to overlook an offense.
19	17	Whoever is kind to the poor lends to the Lord, and He will reward them for what they’ve done.
19	21	Many are the plans in a person’s heart, but it is the Lord’s purpose that prevails.
19	23	Respecting the Lord leads to life; then one rests content, untouched by trouble.
20	1	Wine is a mocker and beer is a brawler; whoever is led astray by them is not wise.
20	3	It is to one’s honor to avoid strife, but every fool is quick to quarrel.
20	4	Sluggards do not plow in season; so at harvest time they look but find nothing.
20	7	The righteous lead blameless lives; blessed are their children after them.
20	11	Even small children are known by their actions, by whether their conduct is pure and right.
20	13	Do not love sleep or you will grow poor; stay awake and you will have food to spare.
20	22	Do not say, "I’ll pay you back for this wrong!" Wait for the Lord, and He will avenge you.
20	24	A person’s steps are directed by the Lord. How then can anyone understand their own way?
21	1	In the Lord’s hand the king’s heart is a stream of water that He channels toward all who please Him.
21	2	A person may think their own ways are right, but the Lord weighs the heart.
21	3	To do what is right and just is more acceptable to the Lord than sacrifice.
21	5	The plans of the diligent lead to profit as surely as haste leads to poverty.
21	9	Better to live on a corner of the roof than share a house with a quarrelsome wife.
21	13	Whoever shuts their ears to the cry of the poor will also cry out and not be answered.
21	17	Whoever loves pleasure will become poor; whoever loves wine and olive oil will never be rich.
21	23	Those who guard their mouths and their tongues keep themselves from calamity.
21	30	There is no wisdom, no insight, no plan that can succeed against the Lord.
21	31	The horse is made ready for the day of battle, but victory rests with the Lord.
22	1	A good name is more desirable than great riches; to be esteemed is better than silver or gold.
22	2	Rich and poor have this in common: The Lord is the Maker of them all.
22	4	Humility is the fear of the Lord; its wages are riches and honor and life.
22	6	Start children off on the way they should go, and even when they are old they will not turn from it.
22	7	The rich rule over the poor, and the borrower is slave to the lender.
22	15	Folly is bound up in the heart of a child, but the rod of discipline will drive it far away.
22	29	Do you see someone skilled in their work? They will serve before kings.
23	4	Do not wear yourself out to get rich; do not trust your own cleverness.
23	5	Cast but a glance at riches, and they are gone, for they will surely sprout wings and fly off like an eagle.
23	12	Apply your heart to instruction and your ears to words of knowledge.
23	17	Do not let your heart envy sinners, but always be zealous for the fear of the Lord.
23	18	There is surely a future hope for you, and your hope will not be cut off.
23	23	Buy the truth and do not sell it—wisdom, instruction and insight as well.
23	26	My son, give me your heart and let your eyes delight in my ways.
23	31	Do not gaze at wine when it is red, when it sparkles in the cup, when it goes down smoothly!
23	32	In the end it bites like a snake and poisons like a viper.
